"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","Headset","Microphone Cancelling Over-Ear Headphones","Mela Allyn","Reviewed in the United States on November 3, 2024","","I bought them for my boyfriend and as far as I can tell they are very much worth the money he loves them. The noise canceling is great you can’t hear anything, it’s very light weight, doesn’t hurt the ears or anything, he’s been using them for a little while and so far they work great. Connectivity is perfect the design and cord length are perfect.",5,NA
"2","Headset","Microphone Cancelling Over-Ear Headphones","Magician Cole","Reviewed in the United States on October 22, 2024","Just Like The Photos","These headphones are amazing! The sound is crisp and when I play all outside sounds dissappear. The noise cancelling could be better, but in my environment that's ok. The mic quality is perfect. Only bad thing is that the cord is too long for my liking",5,NA
"3","Headset","Microphone Cancelling Over-Ear Headphones","Tom Fox","Reviewed in the United States on August 26, 2024","","The headset is very comfy but the mic does not reach far enough for the sound to be picked up from your mouth. The quality of audio is very poor also. Probably good enough just to be heard during gaming but not good for a conference or video call.",4,NA
"4","Headset","Microphone Cancelling Over-Ear Headphones","Amazon Customer","Reviewed in the United States on November 11, 2024","The best headphones for the price","The quality and volume for the quality is a deal cheap but good Aldo durable",5,NA
"5","Headset","Microphone Cancelling Over-Ear Headphones","𝐧𝐚𝐭𝐚𝐥𝐢𝐞 ꨄ","Reviewed in the United States on November 16, 2024","","personally i loved it while it lasted, i play fortnite and i used it for almost a year. it just broke today but probably because i was messing with the chords. so to clarify other reviews, no it doesnt light up unless you plug in the second usb thing. if you want it to light up pretty sure it just lights up with a pc since playstation controllers and nintendo doesnt have that usb plug. i loved the mic quality. super comfy, i used another headset and immediately wanted this one back.",5,NA
"6","Headset","Microphone Cancelling Over-Ear Headphones","V","Reviewed in the United States on July 31, 2024","Audio good, mic is weak","The earmuffs are not very comfortable. The bottom presses more than the top of the muff so my earlobes and head get sore after a bit of gaming. I don’t run my cans too loud but my friends can still hear bleed from them back in my mic. The sound quality is good for the price. Not a much low end. The cable’s jacket seems durable and is almost too long for controller use.",3,NA
"7","Headset","Microphone Cancelling Over-Ear Headphones","Mummy10000","Reviewed in the United States on November 26, 2024","","Good bass on video games",5,NA
"8","Headset","Microphone Cancelling Over-Ear Headphones","Duston Hunter","Reviewed in the United States on September 14, 2024","It’s nice and comfortable","For right around $20, this is a great headset. Sound quality is fine and the microphone sounds good in any recorded gameplay clips, party members can hear everything very well. They are comfortable enough for an hour or two of usage but a little annoying the longer you use them.Also, if you’re using on a gaming console, the cable is extremely long and can get in the way if you’re just plugging into your Xbox or PS controller as it’s also made to use on a PC. Wish it would have come with an extender for the cable to use on the PC so it wouldn’t be in the way as much on console, but for the price, I can live with it.",4,NA
"9","Headset","Microphone Cancelling Over-Ear Headphones","Gaia","Reviewed in Germany on November 25, 2024","","Mein Mann ist ein richtiger Heimwerker, aber wenn er abends mal Zeit für sich hat, spielt er gerne an der an Computerspiele seiner Konsole. Da sein altes Headset schon vor einiger Zeit den Geist aufgegeben hat, wollte ich ihm eine Freude machen, da er in letzter Zeit wirklich sehr fleißig war.Ich kenne mich ehrlich gesagt mit solchen Geräten nicht aus aber beim Durchschauen fand ich, dass die Bilder sowie die Beschreibung sehr professionell wirkten, besonders wegen der coolen LED-Beleuchtung. Ich kann jedenfalls bestätigen, dass er mich wirklich nicht mehr hört, wenn er das Headset aufhat – ein gutes Zeichen, würde ich sagen!Mein Mann ist jedenfalls zufrieden und sagt, der Klang sei super, das Mikrofon klar, und vor allem endlich mal wieder was bequemes, da er zuletzt seine alten Handy-Ohrstöpsel notgedrungen genutzt hat.",5,NA
"10","Headset","Microphone Cancelling Over-Ear Headphones","Gerard","Reviewed in the United Kingdom on November 5, 2024","personally i loved it","",5,NA
"11","Headset","Microphone Cancelling Over-Ear Headphones","Rachael Priddle","Reviewed in the United Kingdom on September 2, 2024","","I've been using this gaming headset for online matches, and it's been a solid performer. The sound quality is clear, allowing me to hear in-game details and communicate with teammates effectively. The microphone picks up my voice without background noise, which is essential during cooperative play.The headset is comfortable to wear for extended periods, with soft ear cushions that don't cause discomfort. It's compatible with multiple platforms, which is convenient since I switch between consoles and PC. The build quality feels durable, and the controls are easy to access.It's a dependable headset that enhances the gaming experience.",2,NA
"12","Headset","Microphone Cancelling Over-Ear Headphones","R(h)eingeschaut","Reviewed in Germany on November 2, 2024","Get what you pay for","the audio quality on the headphones is good, they’re comfortable and relatively lightweight. only problem is the microphone is not being picked up whatsoever (windows 11, only picking up between 0%-2% of total volume). i have done everything imaginable to sort this out as i am on pc, changed where i plug it in, swapped the cables over, turned it on and off again (age old), tested it on different devices (xbox and ps4) and nothing seems to help. safe to say i am absolutely gutted! first headset ive ever bought and looking at previous reviews i was pretty excited, tested them out as soon as they arrived and have since been let down, hope nobody else faces this sort of problem",5,NA
"13","Headset","Microphone Cancelling Over-Ear Headphones","Graham Bloodworth","Reviewed in the United Kingdom on July 22, 2024","","Das IMYB A36 Gaming Headset ist ein vielseitiges Headset, das speziell für Gamer entwickelt wurde und mit einer Vielzahl von Geräten kompatibel ist. Es unterstützt PC, Xbox One, Xbox Series X/S, PS4, PS5, Nintendo Switch, Mac und Laptop, was es zu einer hervorragenden Wahl für alle macht, die auf verschiedenen Plattformen spielen.Mit seinem Stereo-Surround-Sound liefert das Headset ein immersives Klangerlebnis, das Spieler vollständig in ihre Spielewelt eintauchen lässt. Das Noise-Cancelling-Mikrofon sorgt für klare Kommunikation, indem es Hintergrundgeräusche reduziert und nur die Stimme des Spielers aufnimmt. Dies ist besonders nützlich für Multiplayer-Spiele, in denen Teamkommunikation entscheidend ist.Das Headset ist in einem auffälligen Blau gehalten und verfügt über RGB-Licht, das für eine stylische Gaming-Atmosphäre sorgt. Es ist robust und dennoch komfortabel, sodass es auch bei langen Gaming-Sessions angenehm zu tragen ist. Das IMYB A36 Gaming Headset ist somit ein ideales Zubehör für Gamer, die Wert auf Klangqualität, Komfort und Stil legen.",4,NA
"14","Headset","Turtle Gaming Headset PlayStation Nintendo Console","Xeromaus & Family","Reviewed in the United States on February 22, 2016","","I'm a HUGE fan of ""low-end"" turtle beach headsets, and I bought these to replace an aging pair of Ear Force PLa's that had served me faithfully for a long time (and still function very well, albeit thanks to a ton of tape work on damage I caused myself stupidly). Considering I paid only ten dollars more for these, the difference is staggering.As others note, they're not a top end headset, but for $40, do you really expect that? Sound is clear and crisp. Mic is clear and loud, without being overly sensitive (and the windscreen performs very well), and connects/disconnects easily... I'm actually using Dragon to type this with the mic in my laptops mic port! Some complain that the mic is inflexible, but I haven't found a position yet that it won't accept and stay with. I do, however, wish they had used the jacketing from the PLa line (ribbed, semi-metallic covering that allowed for total freedom of position) instead of the semi-hard, plastic-feeling overmold on this one.Leather-feel ear cups are VERY well designed and generously padded, they feel very natural on my head and surround my ear with an almost hermetic seal... pressing on the sides of the cups while wearing them yields a noticeable increase in pressure in my ears (you probably shouldn't do this).Entire system is very light (due in part to plastic construction, which doesn't come off feeling as ""cheap"" as other plastic headsets).At 4ft, the cord doesn't give a ton of room, but it was designed to be used with a console controller audio jack, so it doesn't need it... but for use with an mp3 player or laptop, it's great for those that don't need the extra length getting in the way.Some cons:In-line volume/mic control is small and hard to grasp (almost too smooth), and in turn, the volume control knob is very narrow and set deeply in the control box. When you do locate the volume blindly, it's somewhat difficult to roll, but I'm going to assume it will loosen in time. I would suggest moving it closer to the wire's splitter to make it easier to locate blindly, but it's a personal preference some may disagree with.The mic only inserts into the headset in one direction, having a cut out on the mic itself that must be aligned with a tab on the mic jack. It's difficult, though not impossible, to insert it while wearing the headset, so I suggest you choose in or out before you begin using them. I see no reason why this design had to be implemented, and hope future models will omit it.The connecting band has very little in the way of padding across the top of your head. It's not only a very small fill, but it's the same low density, very soft foam used in the ear cups, making it almost ineffective. It's not uncomfortable once you get the fit right for your head (though mine is shaved, your mileage may vary), but it still seems no thought at all went into this design point. Increasing the fill or using a higher density foam could fix this in future models.Each ear cup is connected to one half of the wire, which I personally don't enjoy the feel of, though its double connection design does prevent a lot of twisting that could lead to a single wire design pulling out of it's grommet. The wire(s) itself is very soft and flexible, which while offering comfort, I'm afraid would be easily abraded or pinched.All in all, you would be hard pressed to find another headset that offers more or performs better at or near this price point...it may even be an impossibility. Though PLa's are cheaper and more than adequate, for any looking for an entrance point into the headset market, these are without a doubt the only headset I will ever recommend again. If you need higher performance, just move up the price scale in the turtle beach line, each offering will blow you away.",5,NA
"15","Headset","Turtle Gaming Headset PlayStation Nintendo Console","Blake","Reviewed in the United States on September 25, 2015","Amazing for the money. Absolutely LOVE these!","For this price point, I can't say anything less than 5 stars for this headset. I was originally going to go with a different product until seeing that the Ear Force Recon 50(X) series, was to release on 9/25/15. I decided to give it a try, and figured why not. For $40 it seemed like a steal!For the most part, it is a steal.PROS:--The headset itself is good looking, at first I thought the green would be a little off-putting compared to the color of my other accessories and peripherals, but it actually looks really great. Of course, this part is subjective.--Very lightweight. This thing only weighs a few ounces, and other than the light sensation of the cups on your ears, you could not even know you have it on.--The mic is detachable, which is awesome.--Further, the mic sounds great. It picks up my voice with a pretty good clarity for an entry-level gaming headset, and the attached covering of the mic essentially works as a pop filter. In fact, I have a fan blowing right by me and it manages to cancel the vast majority of the wind rushing into it from the fan. Solid mic.--The sound is pretty good. Bass and highs are on par for this price point, with the mids being the weakest link of the sound stage. For music and movies it is probably not the best choice, although it would still work more than adequately for those uses. Gaming is where it really shines, and the sound quality is more than good enough for my gaming needs. Footsteps are defined, gunshots and explosions sound great, and voices and dialog sound just fine.--Adaptability and Connectivity: It connects to the Xbox One controller that has the 3.5mm plug-in, and works on any Xbox One controller with the Turtle Beach or Microsoft headset adapter. My controller has the plug directly on it, so it works flawlessly without the need of an adapter. Further, it includes an adapter to change the mic/headphones to two separate plugs and I tested it on my PC and it works great for both sound and mic as well. Even though it is marketed as an Xbox One headset, it works just fine on PC and my iPhone. I don't have a PS4 to try it on, but I would imagine it would work just fine.CONS:--Like mentioned above, the sound is pretty much on par. Nothing special and certainly doesn't blow your mind with audio fidelity. However for this price range I can't imagine it gets much better. Mids could be a bit better with frequency range.--The cord is rather short. Granted, this model is targeted specifically towards the Xbox One, so plugging it into the controller with the cord length is more than enough, and nice because you don't have a huge bundle of cord on your lap when it is plugged into your controller. However, for use with a PC or other device you might need to purchase a 4 pole 3.5mm extension cable to make it a bit longer. I managed to find several on Amazon for a few bucks, so if this is a problem for you I would recommend going the extension cable route instead of disregarding this headset.OVERALL:I rated 5, but would probably give closer to a 4.5. For $40 (current price at time of writing, the day this headset has been released), it is a great deal. I am very happy with it, and use it as my main headset for my Xbox now, and a backup for my PC. Very comfortable, lightweight, sound is more than adequate in terms of quality, and it works with a multitude of devices. For gaming, it is just an all-around great entry-level headset.",5,NA
"16","Headset","Turtle Gaming Headset PlayStation Nintendo Console","Kr","Reviewed in the United States on April 9, 2024","","This is being written on the first day after receiving this product. This Turtlebeach headset has great audio quality from the headphones an dmic, though the latter has a bit of an echo when it's too close to your mouth. It's poseable and I don't get that effect around 4-7 inches away from my mouth. The mic is also detachable. The instructions are surprisingly good, particularly for people who aren't computer saavy. They mention a splitter cable that doesn't come with the model I ordered, (The 50P model) or the 50x model, only the standard Recon 50 Model.I've tested it in a dell optiplex 5060sff as well as my HP laptop, which both only have a single jack for audio. In the former thanks to the Wavemaxx Audio Pro I  can choose what the headset is recognized s, mere headphones, a headset, speakers, a mic only, etc. The laptop has no such functionality, but will recognize the audio in and out from both headphones and mic all the same. Only it will play the audio of your own voice on the headphones, so be aware if you're planning on using this headset with a laptop.As well, the mic is very strong in that it can pic up a TV at moderate volume from about eight feet away.I bought it for use in voice chatting, recording, and chatting during video games. Unfortunately the cord is VERY SHORT. Far too short for me to uncomfortably use on my PC without being too close to the screen. I'm going to try and utilize my PS4 controller for this and will update whether or not it works.",4,NA
"17","Headset","Turtle Gaming Headset PlayStation Nintendo Console","phyllis","Reviewed in Canada on November 2, 2024","Excellent Value - For Entry-Level Gaming Headset","Great . Works perfectly",5,NA
"18","Headset","Turtle Gaming Headset PlayStation Nintendo Console","Cecil Toto","Reviewed in Canada on August 20, 2024","","everything about it works and love how it blocks out any background noises",5,NA
"19","Headset","Turtle Gaming Headset PlayStation Nintendo Console","Juan","Reviewed in Mexico on November 13, 2023","Day 1  - Great quality, SHORT CORD","Ya llevo con ellos casi un año y me gustaron bastante, el precio es accesible no sube de 600 pesos, el micrófono para xbox es muy bueno, no tiene interferencias y el audio es impecable que con otros más caros no alcanzarian estos audífonos. Los volvería a comprar solo si los ocupo para Stream pero por ahora solo los ocupo para chatear con amigos en partidas, para Stream desde PC no los recomiendo. Para PS4 o 5 los recomiendo, para tutoriales en celular los recomiendo, para podcast le daría un 8. El micrófono es desmontable y eso me agrada, es cómodo para orejas grandes",5,NA
"20","Headset","Turtle Gaming Headset PlayStation Nintendo Console","Juan","Reviewed in Brazil on June 19, 2023","Great","",5,NA
"21","Headset","Turtle Gaming Headset PlayStation Nintendo Console","Jefferson","Reviewed in Brazil on June 19, 2022","prefect for gaming","Qualidade excelente.",5,NA
"22","Headset","Turtle Gaming Headset PlayStation Nintendo Console","Carlos Kiffer",NA,"Calidad precio de excelencia","",5,NA
"23","Headset","BENGOO G9000 Controller Cancelling Headphones","David Houck","Reviewed in the United States on November 7, 2024","","The BENGOO G9000 Gaming Headset offers incredible sound quality with rich bass surround and crystal-clear audio, making gaming more immersive. The noise-canceling mic ensures clear communication, and the soft memory earmuffs provide a comfortable fit for long gaming sessions. The LED lights add a cool touch, enhancing the gaming experience. Compatible with multiple consoles, it’s a versatile and high-performance headset. I’d love to try more products like this from the vendor—great quality and value for gamers!",5,NA
"24","Headset","BENGOO G9000 Controller Cancelling Headphones","Kasra","Reviewed in the United States on October 28, 2024","🎮 Immersive Sound and Comfortable Fit! 🎮","In addition to providing a wonderful experience, this headset offers impressive audio quality as well as comfort and style. The sound is immersive and precise, enhancing every detail whether I’m gaming or watching content, with clear highs, deep bass, and reliable surround sound that’s suitable for spotting opponents or enjoying rich soundscapes. A clear microphone makes it easy to communicate, and the soft, plush ear cushions and headband provide lasting comfort, even during long sessions. There is a strong sense of durability in the construction, and the adjustable design fits comfortably. I believe this headset is an outstanding choice for both casual players and daily Zoom meetings!",5,NA
