"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","sh","Reviewed in the United States on November 5, 2024","5.0 out of 5 stars","The mouse is good but for some reason the light doesn’t work right now. Probably will work later. The keyboard is really good.The money was for it was ok. The comfort was top-notch!",5,NA
"2","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","Jill Martin","Reviewed in the United States on November 17, 2024","","The mouse isn't great but it's good enough for the price. I love the keyboard!",5,NA
"3","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","AJ","Reviewed in the United States on November 15, 2024","Perfect Birthday Gift (It was worth it)","The keyboard mouse combo was delivered sept 16 2024. There is a lot I like about this product. The keyboard feels good to type on, and the mouse has good performance. For basic use these are good items. I would say that if you are a gamer, the mouse had some intermittent issues with response. NOT for gamers.All of that could lead to a good review except for a few glaring problems.1. The battery life on the keyboard is not comparable to other products. It lasts a few days, which is good, but there are other similar products that get better life.2. The keyboard has had intermittent issues where it will just stop working. This is not battery related. The fix has been a combination of restarting the keyboard, reseating the USB, or at times restarting the computer altogether.3. The mouse is dead. Did not last even 2 months and nothing I have done has been able to fix it.While I will be contacting customer support I don't have much hope for a decent resolution. Average customer support sucks in this day and age. I will edit this review with that experience at a later date.As of now, I would not recommend or buy from redthunder again.--Update--Redthunder was initialy kind enough to reach out and offer full refund. Awesome... right?No.I accepted, to which they then sent a canned how to on fixing a keyboard. wait, sorry, one little piece about fixing a mouse that wont pair. As my mouse is dead and wont turn on (yes I know how to charge it), neither of these will work for me.Still no refund.Had they not reached out, or said ""sorry, past the return date"", I would have written this off. But I despise people/companies who promise one thing then dont fallow through. Or just ignore in this case.One star. Horrid customer service, bad business, worse product... Do no purchase.",1,NA
"4","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","Dillon","Reviewed in the United States on November 8, 2024","5.0 out of 5 stars","Keyboard is garbage. After a little over 3 months power intermittently shuts off and back on even when fully charged & plugged into power. On top of that I’ve barely even used it. Complete waste of money wouldn’t recommend. Keys also feel cheap. After seeing my review they sent me another keyboard and mouse. Customer service was great so I give them 4 stars.",4,NA
"5","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","Julian","Reviewed in the United States on March 3, 2024","","I recently invested in the RedThunder K10 Wireless Gaming Keyboard and Mouse, and the duo has proven to be a stellar addition to my gaming setup. This wireless combo stands out for its exceptional performance, sleek design, and gamer-friendly features, making it a compelling choice for those seeking a reliable and affordable wireless gaming solution.The keyboard boasts an impressive design that immediately catches the eye. The RGB backlighting adds a vibrant touch, and the customizable lighting options allow for personalization to match any gaming setup. The aesthetic appeal of the K10 keyboard is complemented by its durable build, with responsive keys and a solid construction that exudes quality.The wireless functionality of the keyboard is a game-changer for those who value a clutter-free gaming environment. The 2.4GHz wireless connection ensures a stable and lag-free experience, providing the freedom to game from a distance without sacrificing responsiveness. The wireless range is impressive, allowing me to connect seamlessly even from across the room.The inclusion of multimedia hotkeys on the K10 keyboard enhances the overall user experience. Quick access to volume control, media playback, and customizable shortcuts adds convenience during gaming sessions and everyday computer use. The tactile feedback of the keys contributes to a satisfying typing and gaming experience.The accompanying wireless gaming mouse further complements the RedThunder K10 combo. The mouse's ergonomic design ensures a comfortable grip during extended gaming sessions. The adjustable DPI settings (up to 4800 DPI) cater to a variety of gaming preferences, from precise aiming in shooters to swift movements in fast-paced games.The mouse features programmable buttons, adding versatility to my gaming experience. Customizing key bindings through the RedThunder software is straightforward, allowing for personalized macros and button configurations. The built-in RGB lighting on the mouse synchronizes seamlessly with the keyboard, creating a cohesive and visually appealing gaming atmosphere.Battery life is a notable strength of the RedThunder K10 combo. Both the keyboard and mouse boast impressive endurance on a single charge, providing hours of uninterrupted gaming or productivity. The convenience of USB-C charging ensures a quick and hassle-free recharge when needed.Setting up the RedThunder K10 combo was effortless, and the package arrived securely packaged with clear instructions. The plug-and-play design allows for quick installation without the need for additional drivers. RedThunder's commitment to user-friendly design is evident throughout the setup process.In conclusion, the RedThunder K10 Wireless Gaming Keyboard and Mouse combo is a standout choice for gamers seeking a reliable and aesthetically pleasing wireless solution. With its responsive keys, customizable lighting, ergonomic mouse design, and wireless convenience, the K10 combo offers a compelling package at an affordable price. If you're in the market for a wireless gaming keyboard and mouse that delivers on both performance and style, the RedThunder K10 combo is a solid investment.",5,NA
"6","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","Tina Lee Miller","Reviewed in the United States on August 23, 2024","The keyboard is GREAT!","Sent me a keyboard that was opened and very obviously used, slightly scuffed. I've been using almost 2 weeks seems to work just fine though, how much would another sticker cost? just to prove you made sure it works correctly? Only get one charger when you have two items that need to be charged.It was my own fault I didn't realize it doesn't use batteries. Charging cable is extremely cheap though, took 6 hour to charge so I could use it? Presumably why previous person returned? Thankfully I had my own charger and just plug it in overnight and haven't had any issues since, but then Ive only had it a short time. Mouse feels a little cheap as well and its made for mens/larger hands so its it a little uncomfy to use it. If you have the colors on, on the mouse it tends to lag alot while using not something that's desirable in a gaming mouse. But over all I like the board, However I am very glad I bought this on sale would NOT have been happy if I paid 60 dollars for this.",3,NA
"7","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","Morning Star","Reviewed in the United States on November 1, 2024","1.0 out of 5 stars","Just be careful The keyboard can break easily not that I've broken it but it's great for the price The lights are cool and everything",5,NA
"8","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","Paul Santis","Reviewed in the United States on November 25, 2024","","I am absolutely in love with this keyboard. It works amazingly it works with my nails. Surprisingly usually I have issues the value for what you get is amazing. I love the fact that it is wireless Bluetooth and you can also keep it on the charger. The pink is bright and beautiful. I am in love with this.",5,NA
"9","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","Andre Forget","Reviewed in Canada on June 14, 2024","stopped working after less than 60 days","I didn't want to spend $250 on a gaming keyboard, so the price is right, let say that because of my habit and my age I find the design different, all in all it do the job very well, I do sim racing at night in a dark room so I needed backlight touch over a black keyboard with black touch...No issue to install or get the light going, just read the instructions the only downside so far is me, I am quite sure there is light for the mouse but didn't find the way to activate it, did not do my homework tho.The keyboard is responsive and the mouse as well, actually work better than my Logitech one so it's a plus.So far very happy and recommended the product",5,NA
"10","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","Pascal Dubé","Reviewed in Canada on August 27, 2024","4.0 out of 5 stars","When I took the box, I noticed both seal stickers was cut, some part in the bos was torn up and the keyboard was already ""on"". I don't know what happened, it was just weird. Beside that though, everything seems to work fine. The mouse and keyboard quality is very surprising for the price. I would have put a 5 stars if it wasn't for the fact it was already open.",4,NA
