"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","Motherboard","ASUS ROG Strix Gaming Motherboard","jct","Reviewed in the United States on October 16, 2024","5.0 out of 5 stars","Had a minor with instillation, but Asus phone assisantce  solved problem quickly.  Runs Linux Mint 22 nicely, also very cool-no heating issues. I expect it will do as well with windows if you still use microsoft.  This is a nice board. I like it. I'm very happy with it.  This is the 4th computer I've built.  One for windows and then three after I moved up Linux.  This is the nicest board yet. I wonder what boards will lbe like when we all have to upgrade to 128 bit.",5,NA
"2","Motherboard","ASUS ROG Strix Gaming Motherboard","Misnad Haque","Reviewed in the United States on June 15, 2024","","Got this mobo at circa $180 and it was a pretty awesome deal especially since this model isn't available in Sri Lanka. The board is very stable, no issues whatsoever and provides excellent connectivity. The fact that it has Wifi 6 is even better. I like this antenna unlike the triangular one from the usual TUF series. The only issue though is that despite the ROG branding, it doesn't have a usb-c header for the front panel so be mindful of that. It also has a single ARGB header so if you need more devices to connect with Aura Sync, you'll need a hub. I loved the 2 M.2 heatsinks for the drives since my previous TUF board only had 1. The IO shield fixed as a single unit at the back is great and saved me a lot of pain (yes, fixing an IO shield is a nightmare on some cases!). One callout though is that the Wifi device was not recognized by Windows 11 via a fresh install so I had to connect it via Ethernet, update the drivers from the Asus site and then got it to work. Excellent all-round board to wrap up the AM4 line-up.",5,NA
"3","Motherboard","ASUS ROG Strix Gaming Motherboard","J.D. S","Reviewed in the United States on January 28, 2024","RUNS LINUX MINT VERY NICELY.","This is a really nice motherboard and was an upgrade over my older & much cheaper B450 that I, by a tragic mistake, dropped (literally) and accidentally broke. Visually, this ASUS motherboard I’ve replaced it with is stunning, much nicer than my last motherboard with larger & better looking heatsinks.For clarification, I bought the WiFi II version of this motherboard. Software-wise, well, I couldn’t get the WiFi or Bluetooth to work right away, but I found the required drivers included on a DVD. After inserting the DVD, there’s clearly marked drivers for the WiFi & Bluetooth. Unfortunately for me, the files didn’t seem to work in Windows 10 for Bluetooth, but it did for WiF, which was more important to me. Windows Troubleshooter couldn’t get the Bluetooth to work, and the drivers I tried from the ASUS website didn’t work either in getting Bluetooth to work. Anyway, it’s not worth returning over or going to great lengths to troubleshoot outside of the windows Bluetooth troubleshooter, as I had a cheap Bluetooth adapter I bought for $5 years ago, which I just plugged in and it worked right away. One of the first things I did also was disable the “armoury crate” auto-download in the BIOS. I thought that for a nearly $200 motherboard, it was strange there were even such bloatware options in the BIOS on top of included Bluetooth I couldn’t seem to get connected to anything. That was something I more expected out of a motherboard in the barely-over-$100 price range.It’s still a 5 (or maybe 4 1/2) star motherboard to me because despite the two little complaints I have about the motherboard, it still functions very well, handling a Ryzen 7 3800X with my H100i cooler quite well while also looking great. The RGB lighting on the motherboard looks great. WiFi works very fast with the included drivers on a DVD. (Although, in 2024, I’d like to maybe see drivers located on a cool USB) I had more fan headers on the motherboard than I had fans, which was nice.",5,NA
"4","Motherboard","ASUS ROG Strix Gaming Motherboard","Zr0Regrets","Reviewed in the United States on September 30, 2024","5.0 out of 5 stars","This board replaced a dying X470 Asus Crosshair VII Hero motherboard. I would have liked to buy an X570 chipset board, but they are out of stock everywhere, overpriced, or used and as a personal rule a motherboard is the only part of a build I won't purchase used.With a 5950x the board out of the box with PBO enabled ran TDC-156, EDC-190, PPT-230. The VRMs were warm but not out of spec or concerning so this board can handle any AM4 CPU you throw at it. It can't match the raw power output of my Hero VII board but unless you have the ultimate golden sample 5950x with a custom loop you should be able to get the clock speeds you want without burning up the VRMs assuming you have solid airflow in your case.I run custom PBO settings that have been thoroughly tested on my old board, I put my old settings in the BIOS on this board and all benchmark scores were matched or slightly improved.One big benefit with going to a B550 chipset from X470 is now I can run my memory at 3600MHz without any stability issues. My old board didn't like anything faster than 3200MHz. Also jumping to PCIe 4.0 for M.2 and GPU is great to have. I moved a 2TB Samsung 980Pro from my old board to this one and while the raw speed difference isn't noticeable the latency is.I saw a lot of complaints about the onboard LAN controller and so far, I haven't had any connection drops or speed issues. I have multiple mapped network drives connected to my PC and move a large number of files back and forth daily and I haven't picked up any dropped packets while monitoring the connection. Asus and Intel just released a new driver in late September 2024 so maybe that resolved some of the issues, but I will update my review if any problems occur. The Wifi and Bluetooth seem fine with my light testing. I have the antenna on my desk in a large open room with a Unifi AP about 25ft and 1 wall away so signal is not an issue. I always use a hard-line connection over Wifi but it is nice to have anyway.As of now my only complaint is the onboard audio, it is a step down from my Hero VII, while they share the same codec, but the Hero VII had an ESS ES9023P chip, and this board it seems does not. I'm in the process of replacing my old external DAC so that issue with resolve itself.I got this board on sale and so far, am very happy with it. I will update my review if any issues pop up. For the price (on sale) it is very hard to beat.Good luck with your builds!",5,NA
"5","Motherboard","ASUS ROG Strix Gaming Motherboard","Zr0Regrets","Reviewed in Canada on November 13, 2024","","Great motherboard installed without any issues and windows 11 setup was a breeze.",5,NA
"6","Motherboard","ASUS ROG Strix Gaming Motherboard","John","Reviewed in Mexico on October 5, 2024","Super stable and grabbed at a great price!","",5,NA
"7","Motherboard","ASUS ROG Strix Gaming Motherboard","Jaime","Reviewed in Brazil on August 14, 2024","5.0 out of 5 stars","The media could not be loaded.",5,NA
"8","Motherboard","ASUS ROG Strix Gaming Motherboard","Jaime","Reviewed in Mexico on June 7, 2024","","Me gustó ya que vino muy bien empaquetado...Solo queda armarlo y probarloActualizo mi comentarioLa placa no me permite usar la frecuencia que trae mis memorias ram, ya que en las manual menciona que soporta más de 4000mhzY yo compré 3 ram de 16gb a 3600 mhz y solo permite hasta 3200.Quizá lo devuelva por este detalle.",5,NA
"9","Motherboard","ASUS ROG Strix Gaming Motherboard","robeval souza aquino","Reviewed in Brazil on June 6, 2023","Excellent motherboard with great features","",5,NA
"10","Motherboard","ASUS ROG Strix Gaming Motherboard","Jessica V.",NA,"5.0 out of 5 stars","Ótimo produto recomendo a todos , e lembrando que já recebi o produto. muito obrigado",5,NA
"11","Motherboard","ASUS ROG Strix Gaming Motherboard","Jessica V.",NA,"","",5,NA
"12","Motherboard","ASUS ROG Strix Gaming Motherboard","Adriano",NA,"Very well-rounded motherboard","Llegó más rápido de lo programado, venía con un dulce y se agradece mucho esos detalles que colocan para sus clientes, son lindos.Muy bien empaquetado y sin ningún detalle ni problemas.Recomendado.",5,NA
"13","Motherboard","ASUS TUF Intel® 12th Motherboard Thunderbolt","Vitality","Reviewed in the United States on September 3, 2024","5.0 out of 5 stars","Cut the cost in half buying through Amazon's Used option. Inside a generic brown box, it was carefully and safely packaged for shipping. It arrived in two days! The board works flawless with all of the features that I was looking for and expected at half of the price if buying it new. There are a lot of people that ship items back without ever even using them, and I highly recommend this option and this motherboard. If someone were to choose to buy this at it's current new price, this model is still a great choice. I'm just not sure for the full price that I personally would have went this route, because other models with the same options are available. It is a fantastic board, looks great with it's sleek all black military tough vibes going on. It has a very subtle RGB lighting effect on the top right corner. The setup is very simple and easy, but I've been putting computer builds together for over 25 years. Also my Lian Li Dynamic XL RGB case I've installed this board into is quite massive and would make almost any build super easy to assemble. So the ease of assembly really depends on not just skill but the case it is being installed in as well. This is a full sized board, and not a small mATX. My experience with the bios of this board and all of the features are as expected. I've definitely favored Asus for years now. This board has had no issues with my 13600k processor, or my two sticks of DDR5 6000 memory. I've easily enabled the xmp memory profile, and overclocking features to test and they all work as they should with my 13600k P-Cores hit an astonishing 5.7Ghz. After the test I've set the board back to it's default settings. Then adjusted the thermal limit and CPU voltage, setting limits, as well as making other various adjustments to ensure a very long lifespan. It is not required, but my preference. I very highly recommend this board, and am really glad that I chose to buy it used in good condition through Amazon. While I can definitely understand that this decision on such an important component for a computer seems like a very high risk, for me it was definitely worth it, costing me only half when comparing the price of new. Overall I'm left with no regrets and big savings on a high quality, top shelf, stellar product.",5,NA
"14","Motherboard","ASUS TUF Intel® 12th Motherboard Thunderbolt","Vitality","Reviewed in the United States on October 28, 2024","","After buying and returning another combo kit (from another manufacturer), this one worked perfectly.  I paired it with an i7-12700KF, 32 GB of Kingston Fury DDR5, and a somewhat old GTX 980.  ASUS has an option to overclock the board using their standard defaults, which gives another 15% in performance. Anyway, the board and rig is completely stable and fast.  A great setup for a great price.  Passmark says the computer is in the 91st percentile.There is a caveat, however.  Windows 11 installation media does not know about a lot of the hardware in this board.  So before you do the installation, go to the ASUS (and Intel) websites and download all the drivers you will need, especially including the Z790 chipset driver from Intel and the network drivers from ASUS.  Put them on a USB stick so you can get the hardware working after you install Windows.",5,NA
"15","Motherboard","ASUS TUF Intel® 12th Motherboard Thunderbolt","Hank","Reviewed in the United States on January 10, 2024","Absolutely Amazing!! HUGE deal when Buying Used","This is an excellent and very practical motherboard, suitable for both gaming and everyday tasks. While it may not have a PCIe 5.0 x4 slot for an M.2 SSD, it does have a PCIe 5.0 x16 slot for graphics cards and other expansion cards. Since it was released before WiFi 7, it still has WiFi 6E, but since WiFi 7 and PCIe 5.0 SSD's are both very recent with very few devices on the market that can actually use these technologies, these trade-offs have very little impact. The included heatsinks for 3 of the 4 M.2 SSD slots are excellent. I have yet to see my SSD's rise above 32 degrees Celsius, even when gaming. It would have been nice if this model came with a Thunderbolt 4 port on the rear I/O panel, but they have to make extra money somehow. The motherboard includes a Thunderbolt 4 header and an extra USB 2.0 port to allow for one of their Thunderbolt 4 expansion cards. At least using one of these expansion cards in the second PCIe 4.0 x16 slot doesn't affect the bandwidth of the other expansion slots, but using a Hyper M.2 expansion card in the PCIe 5.0 slot causes the first PCIe 4.0 x16 slot to drop to x8 bandwidth and the second slot to drop to x4 bandwidth. With 4 M.2 slots though, there really isn't a reason to use one of the Hyper M.2 cards unless you feel you absolutely need a PCIe 5.0 SSD. Similarly, there isn't really any need for a Thunderbolt 4 expansion unless you need a DP-capable USB-C port or USB data transfer speeds of 40Gbps. The rear I/O panel provides plenty of USB ports as it is, ranging from 5 Gbps USB Type A to 20 Gbps USB-C. With this motherboard, I use an i7-13700K CPU and Intel XMP RAM that can go up to the processor's maximum 5600 MHz. Thanks to ASUS Ai Suite III, I was able to set up a stable OC profile with the CPU running at an average of 4800 MHz reaching up to 5900 MHz on the P-cores, and with the memory frequency set to the advertised 5600 MHz. However, since Ai Suite III requires Memory Integrity to be disabled, I followed the advice of someone on a forum and re-enabled Memory Integrity after disabling Run at Startup for Ai Suite. Thanks to that advice, I now have ASUS' AI overclock working with Memory Integrity enabled. I have updated the BIOS regularly without issue, keeping my overclock settings by saving a BIOS profile .CAP file to a USB drive before updating. After the update, I just load the profile and everything goes back to how it was. The Q-Slot has made removing my GPU so much easier. This is important because the only M.2 slot that doesn't have a heatsink gets covered by the GPU when it's placed in the PCIe 5.0 slot or the first PCIe 4.0 x16 slot. I briefly tried placing one of my SSD's in that M.2 slot, but I ended up moving it to a different slot because, as expected, the SSD got much hotter underneath the GPU than in one of the slots covered by a heatsink. If you want to use that slot, I would recommend getting an effective low-profile SSD heatsink. The Q-LED's have been very helpful with troubleshooting issues at startup. For example, the GPU LED kept coming on during startup for some time. After trying a few things, I discovered that Windows kept forcing the CPU to use its onboard graphics during startup, even if I had the onboard graphics disabled in BIOS, which is why the splash screen that allows you to enter BIOS at startup as well as the Windows loading screen never appeared through my GPU output. Thankfully, my monitor has several input ports, so I was able to connect both the onboard graphics and the GPU to my monitor, set the GPU output as the main display, and now I no longer have this issue. This really is a great motherboard, and I would buy it again. I just hope they make an equivalent of this motherboard in the future with the new BTF layout that ASUS announced so when I need a new motherboard 8 years from now, I can get the same kind of practical gaming motherboard for the BTF PC that I will inevitably build.",5,NA
"16","Motherboard","ASUS TUF Intel® 12th Motherboard Thunderbolt","Jacob N.","Reviewed in Mexico on October 20, 2024","5.0 out of 5 stars","No me ha dado ningún problema, para mi eso ya es ganancia",5,NA
"17","Motherboard","ASUS TUF Intel® 12th Motherboard Thunderbolt","Rubén","Reviewed in Canada on July 18, 2024","","",5,NA
"18","Motherboard","ASUS TUF Intel® 12th Motherboard Thunderbolt","P H","Reviewed in Canada on May 1, 2024","A high-quality board for all  your needs.","Full featured mainboard with support for both Win10 and Win11.Good balance between high end, high price and mid range with great performance in a design environment.No quality control issues with the LGA1700 socket or pins.Purchased 5 (Five) of these and all fired up first try.",5,NA
"19","Motherboard","ASUS TUF Intel® 12th Motherboard Thunderbolt","John","Reviewed in Canada on December 21, 2023","5.0 out of 5 stars","Amazing motherboard, I upgraded from a prebuilt mobo to this one, and it is perfect, as it has aura rgb lightning, a lot fan ports and it is very good quality product. I can recommend this motherboard as it not very expensive and does its job very good.",5,NA
"20","Motherboard","ASUS TUF Intel® 12th Motherboard Thunderbolt","Ettereve","Reviewed in Saudi Arabia on August 24, 2024","","I installed this about 3 weeks ago and it was pretty smooth sailing. There are lots of plastic film covers on various parts to keep it from scratching during install/shipping. Remember to peel them off as you are installing.It has some LED lights that can be turned on or off in the BIOS. Speaking of BIOS, Asus motherboards always have nice, clear and easy to use BIOS software. This one is no different.One feature that I likes (but also hated) was that the screws in the M.2 SSD heatsinks were attached to the heatsink. It makes it easier for those with bigger hands to get the screw in place. In the other hand, it also made it difficult to line the screw up with the hole. I feel like there could be a happy medium there.Finding the Windows drivers was pretty simple, but on first boot, you are prompted to install the Asus Armoury Crate software. It let's you control/view the fan speeds, LED lights, see the temperatures, install latest drivers and more. It's actually a really slick idea, but the software itself is awful. It takes up a lot of memory and it crashes all the time. I suggest installing it to get the fastest drivers, then uninstall it right away. NOTE: You will need to use Asus' Armoury Crate Uninstaller tool available on their website to completely rid yourself of it.So far, I haven't had any issues with the motherboard itself. Hopefully it stays that way for a long time.",5,NA
"21","Motherboard","ASUS TUF Intel® 12th Motherboard Thunderbolt","Saad katros",NA,"Excellent motherboard","احببته وحش",5,NA
"22","Motherboard","MSI B550 Gaming GEN3 Motherboard","C. Brown","Reviewed in the United States on November 22, 2024","5.0 out of 5 stars","This motherboard performs well, especially for its price. Easy to install. It was properly packaged, and arrived on schedule.",5,NA
"23","Motherboard","MSI B550 Gaming GEN3 Motherboard","Timothy","Reviewed in the United States on October 15, 2024","","I bought this board used, it came in perfect shape. In the bag properly and everything with it, only thing that seemed to be missing was an instruction/Owners manual. Built PC with this board and everything booted and worked as it should. If looking for a cheaper route, I recommend this board.",5,NA
"24","Motherboard","MSI B550 Gaming GEN3 Motherboard","Caleb Ahlers","Reviewed in the United States on November 5, 2024","Good motherboard","Looks good works even better",5,NA
"25","Motherboard","MSI B550 Gaming GEN3 Motherboard","john","Reviewed in the United States on April 28, 2024","5.0 out of 5 stars","Honestly it’s good but it really doesn’t have that much slots for fans and it DOSENT HAVE WI-FI YOU NEED A WI-FI ADAPTER OR A WI-FI CARD OR A ETERNAL CABLE",4,NA
"26","Motherboard","MSI B550 Gaming GEN3 Motherboard","bobby","Reviewed in the United States on September 19, 2024","","The MSI B550 Gaming GEN3 motherboard is an excellent choice for anyone building a system around the AMD Ryzen 5000 series. It offers great features at a reasonable price, making it perfect for gamers and PC enthusiasts. The AM4 socket ensures compatibility with the latest Ryzen CPUs, and the DDR4 memory support allows for smooth multitasking and gaming performance.With PCIe 3.0 support, it may not have the latest PCIe 4.0 standard, but it’s still more than adequate for most GPUs and storage setups. The M.2 slot is a big plus for NVMe SSDs, ensuring super-fast storage speeds, and the SATA 6Gb/s ports give you plenty of options for additional drives.The board also includes USB 3.2 Gen 1 ports, which provide fast transfer speeds, and the HDMI/DVI ports allow easy connectivity for multi-monitor setups. The ATX form factor is standard and fit easily into my case with no issues during installation.Overall, the MSI B550 Gaming GEN3 is a solid and reliable motherboard that offers great performance for the price. It’s ideal for a mid-range gaming build or any Ryzen-based system where you don’t need PCIe 4.0. Highly recommended for its balance of features and value.",5,NA
"27","Motherboard","MSI B550 Gaming GEN3 Motherboard","Jerry L","Reviewed in the United States on November 12, 2024","Great product","MSI B550 Gaming GEN3 Gaming Motherboard. used with  ryzen 5600g and new build 5600GT. for the ryzen GT you should probably use water cooling. 4x8 RGB DDR4= 32GB. SSDs, HHds. no DVD.  some of the user plugs are on top which is kind of odd for a table top computer.",5,NA
"28","Motherboard","MSI B550 Gaming GEN3 Motherboard","XZ3RO","Reviewed in the United States on November 19, 2024","5.0 out of 5 stars","Just what I needed for my pc",5,NA
"29","Motherboard","MSI B550 Gaming GEN3 Motherboard","Phil Riccardelli","Reviewed in the United States on November 2, 2024","","Glad I picked this Motherboard ...Graet price .And from a Great Company MSI",5,NA
"30","Motherboard","MSI B550 Gaming GEN3 Motherboard","AFilisola C","Reviewed in Mexico on November 11, 2023","Works wonderful","Buena relación desempeño / precio",5,NA
"31","Motherboard","MSI B550 Gaming GEN3 Motherboard","Batın Yılmaz","Reviewed in Turkey on July 21, 2024","4.0 out of 5 stars","",5,NA
"32","Motherboard","MSI B550 Gaming GEN3 Motherboard","Suhairy","Reviewed in Singapore on September 26, 2023","","Başarılı",2,NA
"33","Motherboard","MSI B550 Gaming GEN3 Motherboard","PollaGordaMx","Reviewed in Mexico on January 23, 2023","It’s good","",5,NA
"34","Motherboard","MSI B550 Gaming GEN3 Motherboard","Erick","Reviewed in Mexico on April 26, 2023","5.0 out of 5 stars","Delivery did not take too long. By the time I received this delivery, something feels off. I observed the motherboard package and saw that it had been opened. Furthermore, the manuals were missing. During the installation process itself, I had to refer to manual downloaded from the internet. In addition, CPU socket stickers seems to be taken off.While this motherboard works for me, for ""now"". I wouldn't really recommend buyer to buy this. You wouldn't want to pay a new motherboard for the price of what seems like a ""used"" board.",5,NA
"35","Motherboard","ASUS B550-PLUS Motherboard","Sebahat","Reviewed in the United States on September 29, 2024","5.0 out of 5 stars","Its good for you're money. Im giving it 4 stars bcause I havent installed windows 11 media installation yet, but when I have then i m gonna review again. And also it does boot to bios so thats good to see.Edit1 : This motherboard is great, the pc works. It has earned 5 stars.",5,NA
"36","Motherboard","ASUS B550-PLUS Motherboard","Sebahat","Reviewed in the United States on November 29, 2023","","The ASUS Prime B550M-A WiFi II has truly impressed me, not just with its technical prowess but also with how enjoyable it is to build with. Setting it up was a breeze – from unboxing to the final boot-up, the process was smooth. ASUS's user-friendly BIOS interface played a significant role, making configuration straightforward even for someone not deeply versed in motherboard intricacies.Building my rig with this micro ATX motherboard was a delight. The compact form factor didn't compromise on features, and the PCIe 4.0 support ensures my system runs at peak performance. The inclusion of WiFi 6 and 1Gb LAN means I have versatile connectivity options, making it a future-proof choice.The ECC memory support, a thoughtful addition, provides an extra layer of reliability for memory-intensive tasks. It's a clear nod to users engaged in professional workloads where stability is paramount.Connectivity-wise, the HDMI 2.1 and D-Sub outputs supporting 4K at 60Hz deliver stunning visuals, enhancing my overall multimedia experience. The Addressable Gen 2 RGB Header and Aura Sync take the aesthetics to another level, allowing for personalized lighting that syncs seamlessly with the rest of my setup.As a builder, the ASUS Prime B550M-A WiFi II has become one of my top choices. It strikes a perfect balance between performance and user-friendly design, making it an absolute joy to work with. If you're looking for a micro ATX motherboard that combines technical excellence with an enjoyable building experience, this one's a winner.",5,NA
"37","Motherboard","ASUS B550-PLUS Motherboard","Vance","Reviewed in the United States on September 7, 2024","Good motherboard","So for my budget build this was a must have ! Already came with the chipset for my cpu choice and was windows 11 ready so this was a no brainer. Out of the box she performed amazing and after messing with her bios settings and installing all the latest drivers she was even more amazing ! Just the speed and efficiency is mind blowing. And with the pci expansions you can pop a fast operating Wi-Fi card in which saves you money starting out so you can spend it elsewhere like for the gpu or psu. Anyway this mobo met all my needs for a comfortable price so I’m glad I picked it up ! I would absolutely recommend this mobo if you’re on a budget and just starting out to building like I am",5,NA
"38","Motherboard","ASUS B550-PLUS Motherboard","Vance","Reviewed in the United States on July 20, 2024","5.0 out of 5 stars","This motherboard was used for my first micro ATX build. It was actually fun to put together and works amazingly. However a couple caveats in most of the build process because of its small size. PCie ports are there but if you have a slightly big graphics card? No they aren't. That means installing wifi internally is very dubious and difficult (I got a tplink USB wifi 6 product). Additionally NO ARGB 3 PIN ON THIS BOARD. Really have no idea why they would only have a RGB header and no argb to be seen. This means most rgb products WILL NOT FUNCTION unless you get an additional hub. Overall I like this board but it will really cost you 115 dollars at least unless you are using Ethernet and no argb...",5,NA
