"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","Mouse","Logitech LIGHTSPEED Wireless Gaming Mouse","Patrick Mullen","Reviewed in the United States on October 30, 2024","5.0 out of 5 stars","The Logitech G305 Wireless Mouse is a solid option for those seeking a lightweight and easy-to-use mouse. It fits comfortably in my hand, though those with larger hands might find it on the smaller side. The mouse connects reliably with the USB sensor—I've had zero issues with connectivity.Setting up was a breeze with Logitech's G-Hub software, which made it easy to adjust settings to my preferences. As a bonus, the G-Hub instantly recognized my Logitech video camera, allowing me to manage settings for both devices seamlessly.The G305 offers impressive performance, especially for its price. It’s capable of doing more than I currently need, but that leaves room for it to adapt to various tasks as needed. I haven’t used it for too long yet, but so far, it’s been fantastic—highly recommend it for anyone in the market for a high-quality, budget-friendly wireless mouse.",5,NA
"2","Mouse","Logitech LIGHTSPEED Wireless Gaming Mouse","Chris C.","Reviewed in the United States on October 12, 2024","","The Logitech G305 LIGHTSPEED Wireless Gaming Mouse has quickly become my go-to for both gaming and everyday use. I was initially skeptical about wireless performance, but this mouse has completely blown me away with its 1ms report rate.One of my favorite aspects is the compact, lightweight design, it feels comfortable in my hand, and despite being lightweight, it’s durable and well-built. The battery life is phenomenal as well, with up to 250 hours of continuous gaming on a single AA battery, meaning I don’t have to worry about frequent charging or battery swaps.Overall, if you’re looking for a wireless gaming mouse that combines performance, precision, the Logitech G305 is an excellent choice. Highly recommend it for any gamer!",5,NA
"3","Mouse","Logitech LIGHTSPEED Wireless Gaming Mouse","Madilyn","Reviewed in the United States on November 9, 2024","Lightweight, reliable, easy setup. Great value for price, ideal for small hands. Highly recommend!","My old mouse died on me, the buttons stopped engaging and I couldn't keep up with my gaming.But this is just perfect!Three speed options, forward/backward buttons, usb-c port and wireless. It matches my headphones perfectly too! I'm not a professional gamer but this mouse is a really good starting point. It's simple and comfortably sits in your hand, left or right.I can't recommend this mouse enough!",5,NA
"4","Mouse","Logitech LIGHTSPEED Wireless Gaming Mouse","PandoRides","Reviewed in the United States on July 12, 2024","5.0 out of 5 stars","I recently purchased the Logitech G305 LIGHTSPEED Wireless Gaming Mouse, and I have to say, it’s been a game-changer for me. As someone who games regularly, I was looking for a mouse that could deliver on performance without the hassle of wires, and the G305 does just that. I used to own one beforehand and lost it during a move sadly..First off, the wireless performance is outstanding. I haven’t noticed any lag whatsoever, which is crucial when you’re in the middle of intense gameplay. It’s really liberating to have that kind of responsiveness without being tethered to my desk.The design is another big plus. It fits my hand perfectly and feels comfortable even during long gaming sessions. The mouse is lightweight but feels solidly built, so it moves smoothly and doesn’t tire out my hand.The sensor is super accurate too. I play a lot of FPS games, and the HERO sensor handles everything I throw at it with precision. Customizing the DPI settings was easy using Logitech's software, and I’ve set it up exactly how I like it.Overall, the G305 offers amazing value for money. Considering its performance, build quality, and the freedom of wireless, I’d highly recommend it to any gamer looking to upgrade their setup. It’s definitely one of the best gaming mice I’ve owned.",5,NA
"5","Mouse","Logitech LIGHTSPEED Wireless Gaming Mouse","Mikel","Reviewed in the United States on November 22, 2024","","Wireless Performance: The Lightspeed wireless technology is fantastic. I’ve experienced zero lag or missed clicks during intense gaming sessions, and the 1ms response time feels just as good as a wired mouse.HERO Sensor: The 12,000 DPI HERO sensor is precise and responsive, making it perfect for FPS games like Valorant or Call of Duty. It tracks smoothly on most surfaces (though not glass) and offers excellent accuracy.Battery Life: The battery life is exceptional. With a single AA battery, I’ve gotten close to the advertised 250 hours of use. If you switch to a lithium battery, you can even reduce the mouse’s weight slightly while maintaining long-lasting performance.Compact Design: The small, lightweight design (89g) makes it portable and easy to carry around. It’s great for gaming on the go or as a replacement for a laptop trackpad.What Could Be Better:Size and Comfort: This mouse is on the smaller side, which might be uncomfortable for those with larger hands or who prefer palm grips. I found myself using a claw grip to get the best control, but it may not suit everyone’s ergonomics.AA Battery Requirement: While the battery life is great, I would have preferred a rechargeable option for convenience. Having to keep spare batteries around can be inconvenient in the long run.Limited Features: It lacks some advanced features like customizable weights or RGB lighting found in other gaming mice at this price point. Additionally, there’s no Bluetooth support, which would have made it more versatile for non-gaming use.",4,NA
"6","Mouse","Logitech LIGHTSPEED Wireless Gaming Mouse","Angelo","Reviewed in the United States on August 29, 2024","Lightweight, Fast, and Reliable Wireless Gaming Mouse","Been using it for a week already and is already the best mouse I had ever used, super responsive, clicks feel great and nothing beats the comfort of using a wireless mouse. full customization with the ghub app, I actually love that this mouse doesn't have rgb, I'm not a fan of having almost my whole set up light up when the lights are off in my room, except for my keyboard of course, I have to look at the key sometimes. So far the battery is still working, I do turn off the mouse when I'm not playing so the battery duration is probably going to be longer than 250 hours for me, which I also prefer the AA battery approach, you don't have to charge anything. overall, a really good experience and so far no delays or other problems that comes with gaming mouses nowadays.",5,NA
"7","Mouse","Logitech LIGHTSPEED Wireless Gaming Mouse","Nora","Reviewed in Mexico on November 12, 2024","5.0 out of 5 stars","De muy buena calidad y a buen precio.",5,NA
"8","Mouse","Logitech LIGHTSPEED Wireless Gaming Mouse","Decent","Reviewed in Canada on August 29, 2024","","",5,NA
"9","Mouse","Logitech LIGHTSPEED Wireless Gaming Mouse","Alejandro Hernandez","Reviewed in Mexico on July 2, 2024","Really enjoying it!","I've been using the Logitech G305 LIGHTSPEED Wireless Gaming Mouse for 3 years now, and I’m absolutely thrilled with how well it has held up. This mouse has been my go-to for gaming and everyday use, and it hasn’t let me down once. The performance is stellar, with its Hero 12K Sensor and 12,000 DPI ensuring precise and responsive gameplay. The lightweight design and six programmable buttons make it incredibly versatile and comfortable.After 3 years of heavy use, the only issue I've encountered is that the spring in one of the buttons is slightly worn out—but honestly, that’s to be expected after such a long time. It’s a minor thing considering how perfect this mouse has been otherwise.For anyone looking for a reliable, high-performing wireless gaming mouse, the Logitech G305 LIGHTSPEED is beyond perfect!",5,NA
"10","Mouse","Logitech LIGHTSPEED Wireless Gaming Mouse","Leonardo","Reviewed in Brazil on January 26, 2024","5.0 out of 5 stars","Justo estaba buscando estaba buscando un mouse con esas características, se mueve suave y a la vez rápido, no necesito levantarlo porque no llega a los lugares",5,NA
