"","Show_Title","Rating","Votes","Episode_Count","Release_Year","Critic_Reviews","Popularity_Rating"
"1","1. Breaking Bad","9.5"," (2.2M)","62",2008,"175","20"
"2","2. Planet Earth II","9.5"," (162K)","6",2016,"6","999"
"3","3. Planet Earth","9.4"," (224K)","11",2006,"10","1,778"
"4","4. Band of Brothers","9.4"," (546K)","10",2001,"34","153"
"5","5. Chernobyl","9.3"," (909K)","5",2019,"88","146"
"6","6. The Wire","9.3"," (391K)","60",2002,"77","104"
"7","7. Avatar: The Last Airbender","9.3"," (391K)","62",2005,"57","357"
"8","8. Blue Planet II","9.3"," (49K)","7",2017,"9","4,122"
"9","9. The Sopranos","9.2"," (500K)","86",1999,"93","31"
"10","10. Cosmos: A Spacetime Odyssey","9.2"," (132K)","13",2014,"12","1,571"
"11","11. Cosmos","9.3"," (46K)","13",1980,"8","3,645"
"12","12. Our Planet","9.2"," (54K)","12",2019,"15","2,401"
"13","13. Game of Thrones","9.2"," (2.4M)","74",2011,"368","16"
"14","14. Bluey","9.3"," (34K)","194",2018,"4","373"
"15","15. The World at War","9.2"," (31K)","26",1973,"5","2,532"
"16","16. Fullmetal Alchemist: Brotherhood","9.1"," (209K)","68",2009,"16","474"
"17","17. Rick and Morty","9.1"," (628K)","78",2013,"94","125"
"18","18. Life","9.1"," (44K)","11",2009,"9","3,057"
"19","19. The Last Dance","9.0"," (160K)","10",2020,"28","1,403"
"20","20. The Twilight Zone","9.0"," (97K)","156",1959,"85","337"
"21","21. The Vietnam War","9.1"," (29K)","10",2017,"13","1,739"
"22","22. Sherlock","9.1"," (1M)","15",2010,"121","160"
"23","23. Attack on Titan","9.1"," (565K)","98",2013,"64","50"
"24","24. Batman: The Animated Series","9.0"," (123K)","85",1992,"25","463"
"25","25. Arcane","9.0"," (330K)","18",2021,"59","1"
"26","Recently viewed","9.5"," (2.2M)","62",2008,"175","20"
